Customer Name,Customer Email,Country,Gender,Age,Annual Salary,Credit Card Debt,Net Worth,Car Purchase Amount
Priya Nair,priya.nair@outlook.com,France,0,58,45795,1860,415838,96167
Rohit Gupta,rohit.gupta@outlook.com,Germany,1,40,84886,7265,571430,135545
Sneha Singh,sneha.singh@hotmail.com,Brazil,1,30,142727,12363,241335,88225
Ankit Singh,ankit.singh@gmail.com,Canada,1,41,94820,1769,371879,103886
Amit Verma,amit.verma@yahoo.com,Australia,0,21,35311,6051,285796,60911
Priya Malhotra,priya.malhotra@yahoo.com,Canada,1,31,115305,7396,308795,96318
Arjun Singh,arjun.singh@yahoo.com,Canada,0,61,48431,3747,698143,157282
Rahul Reddy,rahul.reddy@yahoo.com,Australia,0,66,65773,2899,369030,88355
Rohit Sharma,rohit.sharma@outlook.com,Germany,0,22,99092,4890,615894,150854
Amit Joshi,amit.joshi@gmail.com,USA,1,23,38792,11555,289629,67218
Pooja Reddy,pooja.reddy@hotmail.com,France,0,28,53897,3612,827089,184335
Amit Kapoor,amit.kapoor@hotmail.com,Germany,0,47,53483,16787,306508,64728
Kavya Nair,kavya.nair@gmail.com,France,1,66,136530,15541,872352,204243
Sneha Kapoor,sneha.kapoor@outlook.com,UK,1,59,119475,2021,258261,85327
Kavya Gupta,kavya.gupta@hotmail.com,USA,1,48,75758,7873,252283,64408
Neha Singh,neha.singh@gmail.com,France,1,29,122093,1995,585822,155423
Rohit Nair,rohit.nair@hotmail.com,Canada,0,42,121387,2016,629879,164275
Kavya Sharma,kavya.sharma@hotmail.com,Australia,1,35,54300,9529,657086,147210
Priya Malhotra,priya.malhotra@hotmail.com,UK,1,43,42185,7331,976075,207889
Sneha Nair,sneha.nair@gmail.com,India,1,60,68044,19446,426896,99075
Kavya Kapoor,kavya.kapoor@yahoo.com,Singapore,0,28,92592,3027,183767,67704
Pooja Singh,pooja.singh@outlook.com,Singapore,1,30,117538,7736,738519,179989
Amit Sharma,amit.sharma@hotmail.com,Singapore,1,61,56854,7184,757611,166264
Sneha Gupta,sneha.gupta@outlook.com,France,1,28,60535,14067,425713,94373
Priya Reddy,priya.reddy@gmail.com,USA,0,67,65222,12837,697972,150473
Priya Malhotra,priya.malhotra@outlook.com,UK,1,59,40965,10762,251664,60351
Rahul Reddy,rahul.reddy@outlook.com,UK,0,33,57266,18412,673094,144502
Arjun Mehta,arjun.mehta@gmail.com,France,1,33,120982,1206,268126,90293
Neha Kapoor,neha.kapoor@outlook.com,Canada,1,61,53419,18868,303618,63178
Amit Singh,amit.singh@outlook.com,USA,1,58,137059,13383,924371,216057
Kavya Gupta,kavya.gupta@gmail.com,Canada,0,56,135878,7374,248286,84975
Neha Malhotra,neha.malhotra@yahoo.com,Brazil,1,48,63827,17198,911882,191082
Pooja Mehta,pooja.mehta@hotmail.com,France,0,47,73585,11921,114044,43712
Pooja Nair,pooja.nair@gmail.com,UK,1,25,125003,14931,250235,84637
Priya Verma,priya.verma@hotmail.com,Singapore,1,49,72941,19047,338249,80600
Kavya Joshi,kavya.joshi@gmail.com,Singapore,0,58,53776,2306,504589,117673
Pooja Singh,pooja.singh@hotmail.com,India,0,32,85016,10474,549046,133978
Kavya Sharma,kavya.sharma@yahoo.com,Australia,1,27,35530,4748,278576,59663
Sneha Malhotra,sneha.malhotra@outlook.com,France,1,34,103530,18879,643128,149008
Amit Nair,amit.nair@yahoo.com,Brazil,1,68,81005,14808,89353,31059
Priya Nair,priya.nair@gmail.com,UK,1,58,139953,2636,790976,194561
Rohit Reddy,rohit.reddy@hotmail.com,UK,0,68,124209,5737,687147,167677
Amit Verma,amit.verma@outlook.com,Australia,1,56,68623,8392,367824,90204
Sneha Mehta,sneha.mehta@outlook.com,France,1,63,134095,5931,233734,79211
Neha Sharma,neha.sharma@outlook.com,Singapore,0,36,55342,5389,511079,119127
Neha Singh,neha.singh@outlook.com,Singapore,1,53,95733,2930,160078,60557
Neha Reddy,neha.reddy@outlook.com,France,0,52,123384,10339,660490,161454
Rahul Gupta,rahul.gupta@hotmail.com,India,1,48,121906,18043,183883,66424
Rohit Kapoor,rohit.kapoor@yahoo.com,Canada,0,55,102082,2986,801102,192690
Ankit Joshi,ankit.joshi@outlook.com,Germany,0,39,32911,2734,264835,65153
Rohit Sharma,rohit.sharma@hotmail.com,USA,1,52,113879,6759,793974,186964
Ankit Kapoor,ankit.kapoor@gmail.com,Australia,0,59,67504,2802,58155,33601
Neha Kapoor,neha.kapoor@outlook.com,USA,0,44,142561,15486,858350,205756
Arjun Gupta,arjun.gupta@outlook.com,USA,1,61,60306,17646,358987,82353
Kavya Sharma,kavya.sharma@hotmail.com,USA,1,45,120735,10208,197443,67654
Rahul Sharma,rahul.sharma@outlook.com,Canada,0,20,133727,15589,857364,201904
Rohit Singh,rohit.singh@yahoo.com,Germany,1,51,91434,8158,748376,175426
Priya Verma,priya.verma@outlook.com,France,0,54,72642,16151,640978,141411
Amit Reddy,amit.reddy@hotmail.com,Singapore,1,43,89040,13183,472515,111271
Neha Verma,neha.verma@gmail.com,UAE,1,27,35539,10637,234423,55672
Ankit Reddy,ankit.reddy@yahoo.com,Brazil,0,54,32557,6592,787378,161146
Pooja Gupta,pooja.gupta@gmail.com,India,1,48,98497,15207,857789,192936
Sneha Joshi,sneha.joshi@yahoo.com,India,1,21,32869,18340,686584,141359
Rahul Kapoor,rahul.kapoor@hotmail.com,Brazil,1,23,53328,4987,108871,36294
Amit Verma,amit.verma@gmail.com,USA,0,27,76214,2218,660704,153631
Pooja Mehta,pooja.mehta@gmail.com,USA,0,52,100091,10146,221890,67778
Pooja Nair,pooja.nair@outlook.com,India,1,41,36893,19077,523125,104590
Kavya Nair,kavya.nair@gmail.com,USA,0,27,49738,17609,890477,186234
Rahul Sharma,rahul.sharma@gmail.com,USA,0,52,124660,8996,779903,191563
Arjun Verma,arjun.verma@hotmail.com,USA,0,54,139616,8679,516960,143276
Sneha Sharma,sneha.sharma@hotmail.com,India,0,47,48589,11716,132989,33760
Neha Singh,neha.singh@hotmail.com,Germany,0,25,77202,2060,461927,112936
Amit Nair,amit.nair@outlook.com,Canada,0,68,30301,13468,165294,33585
Rohit Sharma,rohit.sharma@hotmail.com,UAE,1,52,95726,11492,427812,106509
Neha Reddy,neha.reddy@gmail.com,France,1,42,80336,2816,738105,171167
Neha Reddy,neha.reddy@gmail.com,Germany,1,22,130199,4863,816577,202398
Pooja Joshi,pooja.joshi@outlook.com,Australia,0,66,41093,19070,872209,180040
Kavya Joshi,kavya.joshi@gmail.com,USA,1,46,40729,2409,226089,52016
Priya Mehta,priya.mehta@hotmail.com,Australia,0,59,136400,8560,443002,127583
Rahul Malhotra,rahul.malhotra@yahoo.com,Brazil,1,58,84748,6801,200262,57613
Amit Reddy,amit.reddy@yahoo.com,USA,1,54,80993,11647,714076,163260
Amit Kapoor,amit.kapoor@gmail.com,USA,0,26,119912,13323,906748,208029
Ankit Kapoor,ankit.kapoor@yahoo.com,Singapore,1,27,36655,9173,644319,139436
Priya Singh,priya.singh@yahoo.com,Brazil,1,42,43403,14121,716326,145078
Pooja Nair,pooja.nair@outlook.com,Brazil,1,44,82921,17958,700429,152131
Neha Gupta,neha.gupta@yahoo.com,Australia,0,41,85609,10907,120313,43145
Pooja Singh,pooja.singh@gmail.com,Germany,0,62,98027,16328,987012,219337
Neha Joshi,neha.joshi@outlook.com,India,1,63,78747,17388,661523,147103
Neha Joshi,neha.joshi@outlook.com,France,1,64,88335,5142,261810,78257
Pooja Sharma,pooja.sharma@yahoo.com,India,1,59,103523,7799,144476,55517
Ankit Malhotra,ankit.malhotra@hotmail.com,Singapore,1,61,113613,9311,394894,108584
Rahul Verma,rahul.verma@yahoo.com,India,0,45,120852,9308,318093,93058
Rahul Gupta,rahul.gupta@hotmail.com,Germany,0,28,130235,10204,428496,115748
Arjun Reddy,arjun.reddy@hotmail.com,Brazil,0,20,76175,8805,579525,129914
Kavya Malhotra,kavya.malhotra@gmail.com,Singapore,1,44,75543,17244,423632,97110
Pooja Verma,pooja.verma@hotmail.com,Singapore,1,58,59375,10662,591252,132735
Sneha Malhotra,sneha.malhotra@gmail.com,Australia,0,22,115067,2679,905474,216528
Pooja Joshi,pooja.joshi@gmail.com,Australia,0,48,91389,10435,497556,118851
Sneha Malhotra,sneha.malhotra@gmail.com,France,1,65,108781,12151,814121,191000
Ankit Malhotra,ankit.malhotra@yahoo.com,Australia,1,67,124758,5452,338790,103340
Arjun Malhotra,arjun.malhotra@outlook.com,Canada,1,29,109605,3849,700419,173430
Ankit Malhotra,ankit.malhotra@outlook.com,UK,0,29,53289,12922,937225,201793
Rohit Sharma,rohit.sharma@gmail.com,UK,0,20,71975,10540,590652,134063
Pooja Sharma,pooja.sharma@gmail.com,UAE,1,35,81991,6878,736337,172512
Priya Verma,priya.verma@gmail.com,Canada,0,51,90890,1851,199143,68003
Amit Gupta,amit.gupta@hotmail.com,Australia,1,54,65195,5000,775948,169986
Pooja Mehta,pooja.mehta@hotmail.com,UAE,1,62,133691,9002,541072,144356
Rahul Verma,rahul.verma@gmail.com,France,0,59,99449,18450,201836,60083
Amit Reddy,amit.reddy@outlook.com,Singapore,1,50,33373,13161,671820,141740
Priya Mehta,priya.mehta@hotmail.com,UK,1,54,57350,17281,982809,209943
Sneha Joshi,sneha.joshi@yahoo.com,Singapore,0,53,87458,9808,856790,190958
Arjun Nair,arjun.nair@yahoo.com,UAE,1,69,56092,12338,181484,49498
Priya Nair,priya.nair@outlook.com,UAE,0,55,63496,12657,613044,132833
Arjun Verma,arjun.verma@gmail.com,UK,1,43,77295,17048,919474,197638
Arjun Verma,arjun.verma@yahoo.com,UK,1,55,67841,6104,246582,63759
Amit Verma,amit.verma@hotmail.com,Canada,1,43,118726,8357,475695,125018
Rohit Joshi,rohit.joshi@outlook.com,USA,1,32,73286,15552,904882,195154
Rohit Mehta,rohit.mehta@outlook.com,UK,0,49,141888,13144,588685,157518
Ankit Nair,ankit.nair@outlook.com,USA,0,67,30728,18749,169180,29377
Rohit Verma,rohit.verma@hotmail.com,Singapore,0,38,77280,14923,459995,110121
Kavya Verma,kavya.verma@yahoo.com,Germany,0,38,66939,5360,109163,34951
Ankit Singh,ankit.singh@hotmail.com,Canada,1,50,94895,6486,189407,63086
Ankit Verma,ankit.verma@hotmail.com,UK,0,24,132795,12130,399652,116354
Kavya Kapoor,kavya.kapoor@hotmail.com,Singapore,1,42,96703,2062,658364,162512
Pooja Joshi,pooja.joshi@gmail.com,Brazil,0,61,51689,12174,400605,89269
Rahul Reddy,rahul.reddy@hotmail.com,France,1,24,53714,6334,124460,37169
Arjun Verma,arjun.verma@outlook.com,UAE,0,30,36801,5846,777627,165883
Pooja Nair,pooja.nair@gmail.com,Australia,1,63,102592,12516,487477,118557
Arjun Mehta,arjun.mehta@gmail.com,Canada,1,65,76732,18575,89081,33486
Rahul Mehta,rahul.mehta@hotmail.com,Germany,0,21,113460,14807,485564,120112
Priya Verma,priya.verma@hotmail.com,UK,0,36,87854,8494,742440,166921
Neha Nair,neha.nair@gmail.com,France,0,23,65909,2810,253196,66929
Kavya Sharma,kavya.sharma@hotmail.com,UK,0,58,148874,16485,880914,211870
Neha Reddy,neha.reddy@outlook.com,Australia,0,32,116769,10435,840141,202114
Priya Joshi,priya.joshi@yahoo.com,Canada,1,39,85771,14116,206542,64557
Rohit Singh,rohit.singh@hotmail.com,Singapore,1,58,82224,7530,551708,126747
Sneha Sharma,sneha.sharma@hotmail.com,Brazil,1,68,53960,1823,263920,68089
Priya Sharma,priya.sharma@yahoo.com,Singapore,1,25,97641,4627,554492,139193
Rahul Mehta,rahul.mehta@gmail.com,UAE,0,66,50559,12003,333876,80383
Pooja Malhotra,pooja.malhotra@hotmail.com,France,0,38,43843,12704,688353,145661
Rohit Joshi,rohit.joshi@outlook.com,India,1,60,82528,6645,309214,81764
Priya Nair,priya.nair@outlook.com,USA,0,20,137892,12829,418501,116983
Arjun Reddy,arjun.reddy@hotmail.com,USA,1,35,71430,8114,915291,196783
Rahul Kapoor,rahul.kapoor@outlook.com,Canada,1,51,41023,1667,955588,206928
Neha Kapoor,neha.kapoor@gmail.com,Canada,1,47,91529,4719,396809,106944
Sneha Verma,sneha.verma@gmail.com,Australia,1,69,63307,5964,177016,51248
Sneha Sharma,sneha.sharma@outlook.com,UAE,1,46,77605,8312,915184,203294
Rohit Reddy,rohit.reddy@gmail.com,Brazil,1,39,65547,18308,601820,127455
Priya Reddy,priya.reddy@hotmail.com,Germany,1,54,148012,13677,448929,129376
Priya Joshi,priya.joshi@yahoo.com,USA,0,24,80990,11136,179473,49632
Ankit Joshi,ankit.joshi@hotmail.com,France,0,49,53793,6124,575303,125329
Ankit Singh,ankit.singh@outlook.com,Australia,0,51,141854,15512,178778,73004
Pooja Nair,pooja.nair@gmail.com,France,0,44,50309,7970,384618,87815
Ankit Sharma,ankit.sharma@gmail.com,Singapore,1,32,50384,19017,912312,190335
Rahul Gupta,rahul.gupta@gmail.com,Canada,1,20,30404,9175,753286,152190
Arjun Singh,arjun.singh@hotmail.com,UK,0,24,128142,10860,285365,86545
Arjun Reddy,arjun.reddy@hotmail.com,Canada,1,42,53524,4636,847348,183017
Rohit Joshi,rohit.joshi@gmail.com,France,0,29,83330,14456,556964,131408
Amit Singh,amit.singh@outlook.com,Australia,1,28,68765,3048,881538,195193
Amit Mehta,amit.mehta@hotmail.com,USA,1,32,87091,5544,349888,91751
Sneha Malhotra,sneha.malhotra@hotmail.com,Brazil,0,50,37239,15489,558153,118922
Kavya Nair,kavya.nair@gmail.com,USA,1,22,124074,5363,690053,175978
Kavya Nair,kavya.nair@gmail.com,Brazil,0,24,54285,5858,748168,164534
Pooja Reddy,pooja.reddy@hotmail.com,UAE,1,67,49198,16254,94238,21732
Sneha Reddy,sneha.reddy@hotmail.com,USA,0,40,107709,5673,535450,136096
Rohit Kapoor,rohit.kapoor@yahoo.com,Canada,0,58,111317,14051,56949,42280
Neha Mehta,neha.mehta@hotmail.com,Canada,1,53,103553,7941,600222,149141
Arjun Kapoor,arjun.kapoor@outlook.com,USA,0,53,113251,10550,300875,88512
Amit Malhotra,amit.malhotra@hotmail.com,UK,1,61,73088,19564,415340,97255
Pooja Verma,pooja.verma@hotmail.com,USA,1,29,85479,5164,273777,80758
Pooja Reddy,pooja.reddy@hotmail.com,Singapore,1,21,99836,7269,479802,119182
Neha Kapoor,neha.kapoor@yahoo.com,India,1,66,47144,8350,261791,63564
Pooja Kapoor,pooja.kapoor@gmail.com,France,1,30,41637,13647,962259,203030
Sneha Gupta,sneha.gupta@outlook.com,Canada,1,44,113807,4266,476650,126527
Rahul Kapoor,rahul.kapoor@yahoo.com,UK,0,51,105697,12314,467170,121942
Kavya Joshi,kavya.joshi@outlook.com,India,1,24,117505,13891,939513,215108
Kavya Joshi,kavya.joshi@yahoo.com,France,1,41,109252,7981,180560,66273
Neha Sharma,neha.sharma@hotmail.com,Brazil,0,31,48777,19977,420608,93711
Rahul Joshi,rahul.joshi@hotmail.com,Singapore,0,64,111818,11488,859006,199842
Rohit Verma,rohit.verma@hotmail.com,Canada,1,41,40478,13394,986766,201942
Sneha Singh,sneha.singh@yahoo.com,Germany,0,36,125257,14568,240471,74663
Sneha Nair,sneha.nair@gmail.com,France,0,34,30302,18022,967559,197308
Amit Verma,amit.verma@outlook.com,Australia,0,45,58699,9150,117661,31930
Ankit Reddy,ankit.reddy@gmail.com,UAE,1,45,34621,16034,308930,64281
Priya Sharma,priya.sharma@hotmail.com,Canada,1,22,48030,18302,921149,190993
Neha Reddy,neha.reddy@hotmail.com,UAE,1,66,97067,9172,168033,60813
Kavya Sharma,kavya.sharma@outlook.com,UAE,1,57,135186,2906,216926,85640
Rohit Malhotra,rohit.malhotra@outlook.com,Brazil,0,56,40267,2062,297736,66892
Rohit Nair,rohit.nair@gmail.com,Canada,1,58,36229,17509,622203,126186
Pooja Nair,pooja.nair@yahoo.com,UK,0,36,33596,12475,449384,98513
Priya Joshi,priya.joshi@hotmail.com,India,1,29,103794,17616,699324,166556
Amit Gupta,amit.gupta@yahoo.com,Australia,1,66,36371,15369,587198,123609
Priya Gupta,priya.gupta@outlook.com,France,0,59,111264,7738,524665,131915
Priya Joshi,priya.joshi@outlook.com,UK,0,56,92981,16679,962826,207996
